Kuerzel	Name	Beschreibung	Dauer	Kosten	Ziel	Zeit	Ziel	Probe1	Probe2	Probe3
SPELL_1	Adlerauge	Das Talent *Sinnesschärfe* wird während der Wirkungsdauer um QS +3 des Zaubers erhöht.	2 Aktionen	4 AsP (Aktivierung des Zaubers) + 2 AsP pro 5 Minuten	selbst	aufrechterhaltend	Wesen	KL	IN	FF
SPELL_2	Analys Arkanstruktur	Der Zauberer erhält detaillierte Hinweise, ob das Objekt magisch ist und falls ja, wie seine magische Struktur beschaffen ist. Durch die so gesammelten Informationen kann der Zauberer bei einer Magischen Analyse mehr QS ansammeln als üblich. Jede QS des <span class=name--spell>Analys</span> entspricht der Höhe der maximal ansammelbaren QS der Probe auf Magiekunde (unterschiedliche Anwendungsgebiete) für die Magische Analyse. Hat der Zauberer z.B. 3 QS im <span class=name--spell>Analys</span> erzielt, kann er maximal 3 QS bei der Magischen Analyse erzielen, hat er eine QS von 4, so sind maximal 4 QS bei der Analyse möglich usw.	32 Aktionen	16 AsP	Berührung	sofort	Wesen, Objekt	KL	KL	IN
SPELL_3	Armatrutz	Die Haut des Zaubernden verhärtet sich, ohne ihre Flexibilität zu verlieren. So erhält er einen natürlichen Rüstungsschutz, der sich auf getragene Rüstung aufaddiert, ohne die Belastung zu erhöhen. Die Höhe des gewünschten zusätzlichen Rüstungsschutzes muss der Zaubernde vor der Probe festlegen. Maximal ist ein zusätzlicher RS von 3 möglich.	1 Aktion	4 AsP für RS 1, 8 AsP für RS 2, 16 AsP für RS 3	selbst	QS x 3 Minuten	Wesen	KL	IN	FF
SPELL_4	Axxeleratus	Die Bewegungen des Verzauberten werden übernatürlich beschleunigt. Dies bringt folgende Erleichterungen: +1 Verteidigung, GS x2, INI-Basiswert x2.<br>	1 Aktion	8 AsP	Berührung	QS x 5 Kampfrunden	Lebewesen	KL	IN	FF
SPELL_5	Balsam Salabunde	Der Verzauberte erhält innerhalb von 6 Minuten nach dem Wirken des Zaubers verlorene LeP in Höhe der verwendeten AsP zurück. Der Zauberer kann maximal so viele AsP einsetzen, wie er FW hat. Für jede QS sinkt die Zeit um 1 Minute.<br>	16 Aktionen	1 AsP pro LeP, mindestens jedoch 4 AsP	Berührung	sofort	Kulturschaffende	KL	IN	FF
SPELL_6	Bannbaladin	Dieser ursprünglich elfische Freundschaftszauber weckt in seinem Ziel Sympathien und Freundschaft für den Zaubernden. Die genaue Wirkung ist davon abhängig, wie das Ziel zu dem Zaubernden steht. Pro QS verbessert sich die Verbindung zwischen den beiden um eine Stufe. Ist der Zaubernde dem Ziel vorher unbekannt, bewegt sich die Einstellung des Ziels meist zwischen Stufe 4 (Abneigung) und Stufe 6 (Zuneigung). Vorteile wie Gutaussehend oder Nachteile wie Vorurteile gegenüber dem Zaubernden können diesen ersten Eindruck je nach Situation um eine oder mehr Stufen modifizieren.	4 Aktionen	8 AsP	4 Schritt	QS x 3 Minuten	Kulturschaffende, übernatürliche Wesen	MU	IN	CH
SPELL_7	Blick in die Gedanken	Der Zaubernde kann die Gedanken des Verzauberten lesen. Er kann nur erkennen, was der Verzauberte gerade denkt, nicht jedoch gezielt in seinen Erinnerungen forschen. Der Verzauberte kann mit einer Erfolgsprobe auf *Sinnesschärfe* erschwert um QS des Zaubers entdecken, dass etwas Fremdes in seine Gedanken blickt. Mit einer um QS der Zauberprobe erschwerte Probe auf *Willenskraft* kann er gezielt Gedanken mit irreführenden Informationen aussenden oder seine Gedanken mit nutzlosem Durcheinander, inneren Monologen oder Gesang füllen.	4 Aktionen	8 AsP (Aktivierung des Zaubers), 4 AsP pro 30 Sekunden	4 Schritt	aufrechterhaltend	Kulturschaffende, übernatürliche Wesen	MU	KL	IN
SPELL_8	Blitz dich find	Der Verzauberte wird geblendet. Er erhält eine Stufe des Zustands *Verwirrung*.	1 Aktion	4 AsP	8 Schritt	QS in Kampfrunden	Lebewesen	MU	IN	CH
SPELL_9	Corpofesso	Der Verzauberte erleidet schmerzhafte Muskelschwäche. Während der Wirkungsdauer erleidet er den Zustand *Schmerz*.	2 Aktionen	16 AsP	8 Schritt	QS x 2 in Kampfrunden	Lebewesen	KL	IN	KO
SPELL_10	Disruptivo	Dieser Grundzauber der Antimagie beeinträchtigt alle Arten von Zauberei in QS x 2 Schritt Radius um den Zaubernden herum, indem störende Schwingungen in die umgebenden astralen Muster gesendet werden. Alle Proben auf Zaubersprüche, die in dieser Zone gewirkt werden oder dort ihre Wirkung entfalten sollen, sind erschwert. Dies gilt ebenso für Zauber, die der Zaubernde selbst wirkt. Der Zaubernde muss vor dem Wirken festlegen, ob die Zone sich mit ihm mit bewegen oder an Ort und Stelle bleiben soll.	8 Aktionen	8 AsP (Aktivierung des Zaubers) + 4 AsP pro 5 Minuten	selbst	aufrechterhaltend	Zone	MU	KL	CH
